"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2473","TC06 - Open Account Workflow","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","6230","TC03 - Transfer Page Visibility","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3523","TC08 - Down Payment Field Visibility","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3416","TC12 - UI Validation","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","5414","TC09 - Session Persistence Validation","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3328","TC10 - Invalid SSN Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","2792","TC07 - Verify Account Table Visibility","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","2260","TC07 - Unauthorized Access Validation","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","3797","TC18 - Verify Bill Pay Form Fields Visibility","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","6699","TC13 - Session Persistence Validation","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","5745","TC04 - Multiple Accounts Creation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","2802","TC06 - Verify Dynamic Balance Validation","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4273","TC05 - Empty Down Payment","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","2726","TC12 - Concurrent Login Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4005","TC17 - Large Amount Transfer","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4315","TC11 - Savings Account Synchronization","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","943","TC13 - Direct URL Access After Logout","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","1568","TC03 - Account Type Dropdown Validation","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","6308","TC12 - Find Transaction Button Visibility","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","4131","TC13 - UI Validation","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","4354","TC03 - Empty Loan Amount","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3844","TC06 - Verify Dynamic Balance Validation","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3934","TC01 - Valid Fund Transfer","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","671","TC04 - Password Mismatch","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","5626","TC18 - Verify Transfer Funds Page Title","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3937","TC12 - Verify Account Synchronization","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3805","TC09 - Verify Accounts Overview URL","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","120208","TC17 - Large Amount Transfer","webkit","2026-06-04","broken","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3473","TC09 - Verify Accounts Overview URL","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","754","TC03 - Empty Fields Validation","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4877","TC12 - Find Transaction Button Visibility","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","120052","TC09 - Transaction ID Field Visibility","chromium","2026-06-04","broken","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","6604","TC15 - Multiple Transfer Execution","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","6290","TC14 - Unauthorized Access Validation","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","3016","TC08 - Special Characters Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","1441","TC10 - Invalid SSN Validation","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","7144","TC07 - Empty Transaction Search","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","4299","TC02 - decimal Amount payment","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","2746","TC04 - Verify Multiple Accounts Display","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","1189","TC04 - Password Mismatch","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","7027","TC09 - Transaction ID Field Visibility","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","2428","TC09 - Long Input Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4689","TC13 - UI Validation","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","4375","TC06 - Bill Pay Page Visibility","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","1562","TC01 - Valid Registration","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","6991","TC08 - Find Transactions Page Visibility","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","120057","TC14 - New Account ID Validation","chromium","2026-06-04","broken","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","2812","TC01 - Valid bill Payment","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","4422","TC07 - Send Payment Button","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","4862","TC02 - Decimal Amount Transfer","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3969","TC05 - Amount Field Visible","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4022","TC08 - Transfer Confirmation Validation","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","734","TC02 - Invalid Login","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","3186","TC15 - Multiple Bill Payments","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","2870","TC07 - Loan Amount Field Visibility","chromium","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","4600","TC05 - Amount Field Visible","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2834","TC15 - Verify Account Overview Workflow","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3017","TC12 - Unauthorized Access Validation","chromium","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3802","TC05 - Empty Down Payment","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","954","TC15 - SQL Injection Login Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","1258","TC05 - Session Validation","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4643","TC10 - Amount Field Visibility","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","2748","TC12 - Concurrent Login Validation","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4861","TC03 - Search By Date","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","2722","TC12 - UI Validation","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3299","TC01 - Verify Accounts Overview Page","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","1497","TC13 - Direct URL Access After Logout","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4143","TC02 - Invalid Loan Amount","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3715","TC11 - Verify Unauthorized Access","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4156","TC06 - Invalid Amount","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","3995","TC08 - Session Persistence Validation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1406","TC07 - Mandatory Fields Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4838","TC01 - Verify Accounts Overview Page","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","1154","TC06 - Invalid Password Login","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","3775","TC14 - Bill Pay URL Validation","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","2639","TC03 - Account Type Dropdown Validation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","3508","TC11 - Unauthorized Access Validation","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","546","TC15 - SQL Injection Login Validation","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","2312","TC07 - Unauthorized Access Validation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1231","TC07 - Mandatory Fields Validation","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","3872","TC02 - Decimal Amount Transfer","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3856","TC11 - UI Validation","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4091","TC15 - Multiple Bill Payments","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","760","TC05 - Session Validation","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","5258","TC09 - Session Persistence Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3433","TC11 - Verify Unauthorized Access","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","5072","TC15 - UI Validation","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","4431","TC08 - Down Payment Field Visibility","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","5917","TC13 - Duplicate Phone Number Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","2557","TC09 - Open Account Button Visibility","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","120053","TC03 - Transfer Page Visibility","chromium","2026-06-04","broken","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3756","TC04 - Verify Multiple Accounts Display","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","1002","TC14 - Registration Page Title Validation","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","3622","TC14 - New Account ID Validation","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","4189","TC16 - Date Range Fields Visibility","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","3469","TC02 - Open Current Account","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","4607","TC04 - Transfer Page Visibility","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3436","TC07 - Verify Account Table Visibility","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","943","TC09 - Browser Back Validation","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","2099","TC06 - Invalid ZIP Code","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4721","TC13 - Transfer Page URL Validation","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2233","TC16 - Open Account Page Heading Validation","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","2821","TC05 - Account Number Visibility","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1573","TC09 - Open Account Button Visibility","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","5420","TC13 - Workflow Validation","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","4068","TC08 - Find Transactions Page Visibility","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","1","TC08 - Multiple Login Attempts","chromium","2026-06-04","skipped","2026-06-04","","authentication/authentication.spec.js","",""
"","3300","TC13 - Duplicate Phone Number Validation","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","2703","TC11 - Savings Account Synchronization","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","4103","TC13 - Session Persistence Validation","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","6273","TC06 - Invalid Amount","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","1372","TC09 - Browser Back Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","6186","TC05 - Amount Field Visible","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2853","TC07 - Send Payment Button","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","1013","TC14 - Login Page Refresh Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4166","TC13 - Transfer Page URL Validation","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3842","TC02 - Verify Account Balance Visible","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4932","TC15 - Multiple Transfer Execution","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","6133","TC01 - Valid Fund Transfer","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3321","TC14 - Bill Pay URL Validation","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3447","TC12 - Verify Account Synchronization","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4257","TC04 - Payee Name Visibility","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","898","TC07 - Password Masking Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","2050","TC15 - Open Account Navigation Validation","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1165","TC01 - Valid Login","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","6749","TC14 - Page Refresh Validation","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4203","TC12 - Find Transaction Button Visibility","chromium","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","6689","TC08 - Transfer Confirmation Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2819","TC01 - Valid Loan Request","chromium","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3472","TC14 - Verify UI Elements","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3521","TC15 - Verify Account Overview Workflow","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","2312","TC10 - From Account Dropdown Validation","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","5397","TC11 - UI Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4891","TC11 - Date Field Visibility","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","4979","TC10 - Unauthorized Access Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","8743","TC01 - Verify Accounts Overview Page","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3656","TC02 - decimal Amount payment","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","1206","TC15 - SQL Injection Login Validation","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","3484","TC14 - Verify UI Elements","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","2650","TC12 - Complete Registration Flow","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","5289","TC01 - Search By Valid Transaction ID","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","4351","TC07 - Loan Amount Field Visibility","firefox","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","639","TC04 - Empty Credentials","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","1692","TC16 - Open Account Page Heading Validation","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","3996","TC01 - Open Savings Account","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","3847","TC13 - Workflow Validation","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3591","TC11 - Savings Account Synchronization","webkit","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","2513","TC15 - Open Account Navigation Validation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1362","TC10 - Remember Me Validation","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","2624","TC12 - Current Account Synchronization","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","1606","TC06 - Open Account Workflow","chromium","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","120054","TC12 - Transfer Workflow","chromium","2026-06-04","broken","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2789","TC08 - Down Payment Field Visibility","chromium","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","2586","TC10 - From Account Dropdown Validation","firefox","2026-06-04","passed","2026-06-04","Open Account Module","openAccount/openAccount.spec.js","",""
"","6264","TC15 - UI Validation","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","687","TC06 - Invalid Password Login","chromium","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","864","TC07 - Password Masking Validation","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","3479","TC09 - Apply Button Visibility","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","1261","TC15 - Registration Form Reset Validation","firefox","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","7053","TC03 - Search By Date","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","120209","TC08 - Transfer Confirmation Validation","webkit","2026-06-04","broken","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","5991","TC13 - Transfer Page URL Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","5271","TC18 - Verify Transfer Funds Page Title","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3813","TC18 - Verify Bill Pay Form Fields Visibility","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3542","TC11 - Session Persistence Validation","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3535","TC10 - Loan Approval Validation","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","1428","TC05 - Session Validation","firefox","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","3024","TC05 - Verify Account Details Navigation","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4863","TC16 - Date Range Fields Visibility","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","3692","TC07 - Verify Account Table Visibility","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3803","TC14 - Workflow Validation","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","1065","TC06 - Invalid Password Login","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","1422","TC09 - Long Input Validation","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4947","TC11 - UI Validation","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","4249","TC03 - Empty Amount Validation","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","2130","TC01 - Valid Registration","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","1","TC16 - Negative Amount Transfer","firefox","2026-06-04","skipped","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","2836","TC11 - Unauthorized Access Validation","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3952","TC15 - Multiple Bill Payments","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3568","TC13 - Verify Balance Format","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","2801","TC10 - Verify Session Persistence","chromium","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","120211","TC16 - Verify All Input Fields Visible","webkit","2026-06-04","broken","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3754","TC14 - Verify UI Elements","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","3954","TC10 - Unauthorized Access Validation","chromium","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","1","TC16 - Negative Amount Transfer","chromium","2026-06-04","skipped","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","1327","TC04 - Password Mismatch","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","2789","TC08 - Amount Field Visibility","chromium","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","1","TC08 - Multiple Login Attempts","webkit","2026-06-04","skipped","2026-06-04","","authentication/authentication.spec.js","",""
